dst_address_id_group,count,currency
2650,219662,LTC
2637,219548,LTC
1086,219493,LTC
358,217392,LTC
1111,217300,LTC
424,217104,LTC
644,215738,LTC
560,213089,LTC
2674,209403,LTC
2593,209287,LTC
2413,209158,LTC
2098,208028,LTC
640,207793,LTC
2601,206494,LTC
659,206191,LTC
161,205649,LTC
258,205644,LTC
2653,205049,LTC
275,204626,LTC
343,203681,LTC
2647,203149,LTC
319,203003,LTC
204,200893,LTC
337,200770,LTC
710,199853,LTC
2401,199581,LTC
225,198873,LTC
277,197088,LTC
2628,196783,LTC
630,196324,LTC
1965,195668,LTC
1647,195529,LTC
2621,195106,LTC
2678,195089,LTC
1849,195011,LTC
2592,194496,LTC
558,194375,LTC
2618,194294,LTC
648,194229,LTC
306,193416,LTC
335,193316,LTC
2051,193211,LTC
369,192806,LTC
2666,192364,LTC
2654,192358,LTC
425,191688,LTC
1839,191549,LTC
2672,191089,LTC
2636,190876,LTC
2580,190353,LTC
2162,190282,LTC
2590,189984,LTC
617,189636,LTC
352,189559,LTC
2656,189042,LTC
85,188867,LTC
288,188571,LTC
278,188508,LTC
336,188178,LTC
555,188128,LTC
554,187152,LTC
2154,187010,LTC
633,186985,LTC
349,186802,LTC
209,186692,LTC
561,186348,LTC
2412,186208,LTC
2639,186094,LTC
632,185724,LTC
668,185458,LTC
1228,184850,LTC
2582,184126,LTC
433,183670,LTC
546,183492,LTC
287,183439,LTC
2577,183412,LTC
221,182376,LTC
645,181353,LTC
322,181235,LTC
1966,180990,LTC
2594,180886,LTC
550,179976,LTC
675,179708,LTC
354,179689,LTC
2605,179654,LTC
428,179048,LTC
282,178640,LTC
641,178579,LTC
1805,177631,LTC
652,177479,LTC
386,176984,LTC
1391,176319,LTC
509,176078,LTC
331,176064,LTC
297,175805,LTC
759,175441,LTC
1126,175275,LTC
2501,175221,LTC
1835,174623,LTC
706,174397,LTC
228,174384,LTC
2600,174355,LTC
210,174186,LTC
2373,173949,LTC
1030,173409,LTC
226,173036,LTC
917,172690,LTC
1358,172674,LTC
236,172598,LTC
2665,172553,LTC
227,172219,LTC
303,172218,LTC
324,171686,LTC
662,171454,LTC
289,170923,LTC
629,170817,LTC
635,170520,LTC
